user_id,raw_date,num_day,num_frn,num_frn_des,num_frn_n2,num_frn_n3,num_frn_n,max_freq_n2,max_freq_n3,num_n2,num_n3,num_tag,num_tag2,num_nick,frn_ok
kitty771108,2009-04-05,2,0,0,0,0,0,0,0,0,0,0,0,0,0
kiskang910,2009-04-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kii111,2009-04-05,2,0,0,0,0,0,0,0,0,0,0,0,0,0
katy0304,2009-04-05,5,47,43,24,0,24,16,0,2,0,16,7,5,1
karen7510,2009-04-05,2,19,17,0,0,0,0,0,0,0,3,3,3,1
jwu618,2009-04-05,2,0,0,0,0,0,0,0,0,0,0,0,0,0
judy2475,2009-04-05,0,20,19,10,1,10,8,1,2,1,13,5,4,1
jiunda,2009-04-05,2,20,17,0,0,0,0,0,0,0,8,4,4,1
jessica80597,2009-04-05,2,4,4,2,0,2,2,0,1,0,3,3,3,1
jescar725,2009-04-05,2,0,0,0,0,0,0,0,0,0,0,0,0,0
imbigbeauty,2009-04-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ilpp6709,2009-04-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hunterex,2009-04-05,5,20,19,2,0,2,2,0,1,0,6,7,4,1
horace7377,2009-04-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hic3,2009-04-05,5,71,57,4,0,4,4,0,2,0,21,12,7,1
goodmankuo,2009-04-05,2,7,5,0,0,0,0,0,0,0,0,0,2,1
glaysteve,2009-04-05,2,7,7,2,0,2,2,0,1,0,2,2,1,1
geniorrr,2009-04-05,2,0,0,0,0,0,0,0,0,0,0,0,0,0
geminilai,2009-04-05,0,20,17,0,0,0,0,0,0,0,4,7,3,1
forever75,2009-04-05,1,38,37,19,2,19,13,2,2,1,19,11,3,1
fcinzaghi,2009-04-05,2,20,18,13,0,13,13,0,1,0,5,11,4,1
faroecd,2009-04-05,0,4,4,0,0,0,0,0,0,0,1,0,2,1
farlove1338,2009-04-05,5,0,0,0,0,0,0,0,0,0,0,0,0,0
facepaper,2009-04-05,2,55,49,18,6,23,18,3,2,3,25,32,13,1
es0524,2009-04-05,0,10,6,2,0,2,2,0,1,0,3,1,1,1
Effie1027,2009-04-05,1,68,63,46,0,46,33,0,5,0,35,24,8,1
edar520,2009-04-05,5,20,20,10,0,10,4,0,3,0,9,7,3,1
doo78228,2009-04-05,2,0,0,0,0,0,0,0,0,0,0,0,0,0
